"seller_id","name","domain","seller_type","comment","contact_email","contact_address","version","seller_json_source"
"2235","Droom Technology Pvt Ltd","droom.in","DIRECT","Sells O&O Inventory","Kush Rohra <kush@adsolut.in>","Adsolut Media 309, C Wing, Vikhroli (W, HMPL Surya Nagar, Vikhroli West Kailas Business Park), Mumbai, Maharashtra 400079",1,"adsolut.in"
"2235","Droom Technology Pvt Ltd","orangebookvalue.com","DIRECT","Sells O&O Inventory","Kush Rohra <kush@adsolut.in>","Adsolut Media 309, C Wing, Vikhroli (W, HMPL Surya Nagar, Vikhroli West Kailas Business Park), Mumbai, Maharashtra 400079",1,"adsolut.in"
"210291","ouo.io","ouo.io","DIRECT","Sells O&O Inventory","Kush Rohra <kush@adsolut.in>","Adsolut Media 309, C Wing, Vikhroli (W, HMPL Surya Nagar, Vikhroli West Kailas Business Park), Mumbai, Maharashtra 400079",1,"adsolut.in"
"3112","Jagran Prakashan Limited","jagranjosh.com","DIRECT","Sells O&O Inventory","Kush Rohra <kush@adsolut.in>","Adsolut Media 309, C Wing, Vikhroli (W, HMPL Surya Nagar, Vikhroli West Kailas Business Park), Mumbai, Maharashtra 400079",1,"adsolut.in"
"27115","Cassius Technologies Private Limited","freshersworld.com","DIRECT","Sells O&O Inventory","Kush Rohra <kush@adsolut.in>","Adsolut Media 309, C Wing, Vikhroli (W, HMPL Surya Nagar, Vikhroli West Kailas Business Park), Mumbai, Maharashtra 400079",1,"adsolut.in"
"271412","Quinstreet India Marketing & Media Pvt. Ltd","https://www.quinstreet.com/india/","DIRECT","Sells O&O Inventory","Kush Rohra <kush@adsolut.in>","Adsolut Media 309, C Wing, Vikhroli (W, HMPL Surya Nagar, Vikhroli West Kailas Business Park), Mumbai, Maharashtra 400079",1,"adsolut.in"
"398739","aglasem","aglasem.com","DIRECT","Sells O&O Inventory","Kush Rohra <kush@adsolut.in>","Adsolut Media 309, C Wing, Vikhroli (W, HMPL Surya Nagar, Vikhroli West Kailas Business Park), Mumbai, Maharashtra 400079",1,"adsolut.in"
"22391","UDigital Content Private Limited","arre.co.in","DIRECT","Sells O&O Inventory","Kush Rohra <kush@adsolut.in>","Adsolut Media 309, C Wing, Vikhroli (W, HMPL Surya Nagar, Vikhroli West Kailas Business Park), Mumbai, Maharashtra 400079",1,"adsolut.in"
"27101","Quikr India Private Limited","quikr.com","DIRECT","Sells O&O Inventory","Kush Rohra <kush@adsolut.in>","Adsolut Media 309, C Wing, Vikhroli (W, HMPL Surya Nagar, Vikhroli West Kailas Business Park), Mumbai, Maharashtra 400079",1,"adsolut.in"
"27109","healthisfood","healthisfood.com","DIRECT","Sells O&O Inventory","Kush Rohra <kush@adsolut.in>","Adsolut Media 309, C Wing, Vikhroli (W, HMPL Surya Nagar, Vikhroli West Kailas Business Park), Mumbai, Maharashtra 400079",1,"adsolut.in"
"27102","Khana Khazana Productions Pvt Ltd","sanjeevkapoor.com","DIRECT","Sells O&O Inventory","Kush Rohra <kush@adsolut.in>","Adsolut Media 309, C Wing, Vikhroli (W, HMPL Surya Nagar, Vikhroli West Kailas Business Park), Mumbai, Maharashtra 400079",1,"adsolut.in"
"27111","funwithliving","funwithliving.com","DIRECT","Sells O&O Inventory","Kush Rohra <kush@adsolut.in>","Adsolut Media 309, C Wing, Vikhroli (W, HMPL Surya Nagar, Vikhroli West Kailas Business Park), Mumbai, Maharashtra 400079",1,"adsolut.in"
"27113","pizzaisgood","pizzaisgood.info","DIRECT","Sells O&O Inventory","Kush Rohra <kush@adsolut.in>","Adsolut Media 309, C Wing, Vikhroli (W, HMPL Surya Nagar, Vikhroli West Kailas Business Park), Mumbai, Maharashtra 400079",1,"adsolut.in"
"28820","UZ<U+030C>DAROJI AKCINE<U+0307> BENDROVE<U+0307>","lrytas.lt","DIRECT","Sells O&O Inventory","Kush Rohra <kush@adsolut.in>","Adsolut Media 309, C Wing, Vikhroli (W, HMPL Surya Nagar, Vikhroli West Kailas Business Park), Mumbai, Maharashtra 400079",1,"adsolut.in"
"3980768","ac24.cz","ac24.cz","DIRECT","Sells O&O Inventory","Kush Rohra <kush@adsolut.in>","Adsolut Media 309, C Wing, Vikhroli (W, HMPL Surya Nagar, Vikhroli West Kailas Business Park), Mumbai, Maharashtra 400079",1,"adsolut.in"
"371098","bollywoodpapa.com","bollywoodpapa.com","DIRECT","Sells O&O Inventory","Kush Rohra <kush@adsolut.in>","Adsolut Media 309, C Wing, Vikhroli (W, HMPL Surya Nagar, Vikhroli West Kailas Business Park), Mumbai, Maharashtra 400079",1,"adsolut.in"
"11921","bongda.com.vn","bongda.com.vn","DIRECT","Sells O&O Inventory","Kush Rohra <kush@adsolut.in>","Adsolut Media 309, C Wing, Vikhroli (W, HMPL Surya Nagar, Vikhroli West Kailas Business Park), Mumbai, Maharashtra 400079",1,"adsolut.in"
"44921","Apple Seed Pte Ltd","theindependent.sg","DIRECT","Sells O&O Inventory","Kush Rohra <kush@adsolut.in>","Adsolut Media 309, C Wing, Vikhroli (W, HMPL Surya Nagar, Vikhroli West Kailas Business Park), Mumbai, Maharashtra 400079",1,"adsolut.in"
"351786","yeah1","yeah1.com","DIRECT","Sells O&O Inventory","Kush Rohra <kush@adsolut.in>","Adsolut Media 309, C Wing, Vikhroli (W, HMPL Surya Nagar, Vikhroli West Kailas Business Park), Mumbai, Maharashtra 400079",1,"adsolut.in"
"4324723","androhub","androhub.com","DIRECT","Sells O&O Inventory","Kush Rohra <kush@adsolut.in>","Adsolut Media 309, C Wing, Vikhroli (W, HMPL Surya Nagar, Vikhroli West Kailas Business Park), Mumbai, Maharashtra 400079",1,"adsolut.in"
"81099","Mobfox US LLC","mobfox.com","INTERMEDIARY","Sells both O&O and SDK inventory","Kush Rohra <kush@adsolut.in>","Adsolut Media 309, C Wing, Vikhroli (W, HMPL Surya Nagar, Vikhroli West Kailas Business Park), Mumbai, Maharashtra 400079",1,"adsolut.in"
"80594","Smaato Inc","smaato.com","INTERMEDIARY","Sells both O&O and SDK inventory","Kush Rohra <kush@adsolut.in>","Adsolut Media 309, C Wing, Vikhroli (W, HMPL Surya Nagar, Vikhroli West Kailas Business Park), Mumbai, Maharashtra 400079",1,"adsolut.in"
"96461","Adcolony, INC","adcolony.com","INTERMEDIARY","Sells both O&O and SDK inventory","Kush Rohra <kush@adsolut.in>","Adsolut Media 309, C Wing, Vikhroli (W, HMPL Surya Nagar, Vikhroli West Kailas Business Park), Mumbai, Maharashtra 400079",1,"adsolut.in"
"81324","SoMo Audience Corp","somoaudience.com","INTERMEDIARY","Sells both O&O and SDK inventory","Kush Rohra <kush@adsolut.in>","Adsolut Media 309, C Wing, Vikhroli (W, HMPL Surya Nagar, Vikhroli West Kailas Business Park), Mumbai, Maharashtra 400079",1,"adsolut.in"
"27112","bihari.news","bihari.news","DIRECT","Sells O&O Inventory","Kush Rohra <kush@adsolut.in>","Adsolut Media 309, C Wing, Vikhroli (W, HMPL Surya Nagar, Vikhroli West Kailas Business Park), Mumbai, Maharashtra 400079",1,"adsolut.in"
"3989874","designervn.net","designervn.net","DIRECT","Sells O&O Inventory","Kush Rohra <kush@adsolut.in>","Adsolut Media 309, C Wing, Vikhroli (W, HMPL Surya Nagar, Vikhroli West Kailas Business Park), Mumbai, Maharashtra 400079",1,"adsolut.in"
"3989874","designervn.net","designervn.net","DIRECT","Sells O&O Inventory","Kush Rohra <kush@adsolut.in>","Adsolut Media 309, C Wing, Vikhroli (W, HMPL Surya Nagar, Vikhroli West Kailas Business Park), Mumbai, Maharashtra 400079",1,"adsolut.in"
"93345","MX Entertainment","mxplayer.in","DIRECT","Sells O&O Inventory","Kush Rohra <kush@adsolut.in>","Adsolut Media 309, C Wing, Vikhroli (W, HMPL Surya Nagar, Vikhroli West Kailas Business Park), Mumbai, Maharashtra 400079",1,"adsolut.in"
"21","Sony Pictures Networks India Pvt Limited","sonyliv.com","DIRECT","Sells O&O Inventory","Kush Rohra <kush@adsolut.in>","Adsolut Media 309, C Wing, Vikhroli (W, HMPL Surya Nagar, Vikhroli West Kailas Business Park), Mumbai, Maharashtra 400079",1,"adsolut.in"
"110192","Luxeva Technologies","popxo.com","DIRECT","Sells O&O Inventory","Kush Rohra <kush@adsolut.in>","Adsolut Media 309, C Wing, Vikhroli (W, HMPL Surya Nagar, Vikhroli West Kailas Business Park), Mumbai, Maharashtra 400079",1,"adsolut.in"
"15103","RealGM LLC","basketball.realgm.com","DIRECT","Sells O&O Inventory","Kush Rohra <kush@adsolut.in>","Adsolut Media 309, C Wing, Vikhroli (W, HMPL Surya Nagar, Vikhroli West Kailas Business Park), Mumbai, Maharashtra 400079",1,"adsolut.in"
"327541","ArcaMax Publishing, Inc","arcamax.com","DIRECT","Sells O&O Inventory","Kush Rohra <kush@adsolut.in>","Adsolut Media 309, C Wing, Vikhroli (W, HMPL Surya Nagar, Vikhroli West Kailas Business Park), Mumbai, Maharashtra 400079",1,"adsolut.in"
"3987300","Zetha Media - Polish Express Media Group","polishexpress.co.uk","DIRECT","Sells O&O Inventory","Kush Rohra <kush@adsolut.in>","Adsolut Media 309, C Wing, Vikhroli (W, HMPL Surya Nagar, Vikhroli West Kailas Business Park), Mumbai, Maharashtra 400079",1,"adsolut.in"
"102315","Unidad Editorial","marca.com","DIRECT","Sells O&O Inventory","Kush Rohra <kush@adsolut.in>","Adsolut Media 309, C Wing, Vikhroli (W, HMPL Surya Nagar, Vikhroli West Kailas Business Park), Mumbai, Maharashtra 400079",1,"adsolut.in"
"102316","Unidad Editorial","elmundo.es","DIRECT","Sells O&O Inventory","Kush Rohra <kush@adsolut.in>","Adsolut Media 309, C Wing, Vikhroli (W, HMPL Surya Nagar, Vikhroli West Kailas Business Park), Mumbai, Maharashtra 400079",1,"adsolut.in"
"9320","Observatorulph RO","observatorulph.ro","DIRECT","Sells O&O Inventory","Kush Rohra <kush@adsolut.in>","Adsolut Media 309, C Wing, Vikhroli (W, HMPL Surya Nagar, Vikhroli West Kailas Business Park), Mumbai, Maharashtra 400079",1,"adsolut.in"
"158462","mobilityware","mobilityware.com","RESELLER","Sells O&O Inventory","Kush Rohra <kush@adsolut.in>","Adsolut Media 309, C Wing, Vikhroli (W, HMPL Surya Nagar, Vikhroli West Kailas Business Park), Mumbai, Maharashtra 400079",1,"adsolut.in"
"26486","outfit7","outfit7.com","RESELLER","Sells O&O Inventory","Kush Rohra <kush@adsolut.in>","Adsolut Media 309, C Wing, Vikhroli (W, HMPL Surya Nagar, Vikhroli West Kailas Business Park), Mumbai, Maharashtra 400079",1,"adsolut.in"
"26488","textnow","textnow.com","DIRECT","Sells O&O Inventory","Kush Rohra <kush@adsolut.in>","Adsolut Media 309, C Wing, Vikhroli (W, HMPL Surya Nagar, Vikhroli West Kailas Business Park), Mumbai, Maharashtra 400079",1,"adsolut.in"
"26489","camera360","camera360.com","RESELLER","Sells O&O Inventory","Kush Rohra <kush@adsolut.in>","Adsolut Media 309, C Wing, Vikhroli (W, HMPL Surya Nagar, Vikhroli West Kailas Business Park), Mumbai, Maharashtra 400079",1,"adsolut.in"
"26489","camera360","camera360.com","RESELLER","Sells O&O Inventory","Kush Rohra <kush@adsolut.in>","Adsolut Media 309, C Wing, Vikhroli (W, HMPL Surya Nagar, Vikhroli West Kailas Business Park), Mumbai, Maharashtra 400079",1,"adsolut.in"
"15231","Webcapacity Incorporated","wrestlinginc.com","DIRECT","Sells O&O Inventory","Kush Rohra <kush@adsolut.in>","Adsolut Media 309, C Wing, Vikhroli (W, HMPL Surya Nagar, Vikhroli West Kailas Business Park), Mumbai, Maharashtra 400079",1,"adsolut.in"
