"seller_id","name","domain","directness","comment","contact_email","contact_address","version","seller_json_source"
"16414","KOMOONA","rubiconproject.com","RESELLER","0bfd66d529a55807","sales-dev@adflare.com","Adflare",1,"adflare.com"
"18230","KOMOONA","rubiconproject.com","RESELLER",NA,"sales-dev@adflare.com","Adflare",1,"adflare.com"
"11887731211222272","LOCKERDOME","lockerdome.com","DIRECT",NA,"sales-dev@adflare.com","Adflare",1,"adflare.com"
"247","MEMEGLOBAL","memevideoad.com","DIRECT",NA,"sales-dev@adflare.com","Adflare",1,"adflare.com"
"247","MEMEGLOBAL","whitwise.com","DIRECT","#MemeVideo #Vidoplay","sales-dev@adflare.com","Adflare",1,"adflare.com"
"247","MEMEGLOBAL","vidoplay.com","DIRECT","#MemeVideo #Vidoplay","sales-dev@adflare.com","Adflare",1,"adflare.com"
"247","MEMEGLOBAL","phenqitaliane.com","DIRECT","#MemeVideo","sales-dev@adflare.com","Adflare",1,"adflare.com"
"98033","MEMEGLOBAL","memeglobal.com","RESELLER","7842df1d2fe2db34 #Memevideo","sales-dev@adflare.com","Adflare",1,"adflare.com"
"151177","MEMEGLOBAL","freewheel.tv","RESELLER","#Memevideo","sales-dev@adflare.com","Adflare",1,"adflare.com"
"414097","MEMEGLOBAL","freewheel.tv","RESELLER","#Memevideo","sales-dev@adflare.com","Adflare",1,"adflare.com"
"726he","MEMEGLOBAL","tremorhub.com","RESELLER","1a4e959a1b50034a #Memevideo","sales-dev@adflare.com","Adflare",1,"adflare.com"
"b8be899491e326b67959391d13550e87","MEMEGLOBAL","fyber.com","RESELLER","#Memevideo","sales-dev@adflare.com","Adflare",1,"adflare.com"
"8893","MEMEGLOBAL","advertising.com","RESELLER","#Memevideo","sales-dev@adflare.com","Adflare",1,"adflare.com"
"8893","MEMEGLOBAL","aolcloud.net","RESELLER","#Memevideo","sales-dev@adflare.com","Adflare",1,"adflare.com"
"8893","MEMEGLOBAL","adtech.net","RESELLER","#Memevideo","sales-dev@adflare.com","Adflare",1,"adflare.com"
"9833","MEMEGLOBAL","advertising.com","RESELLER","#Memevideo","sales-dev@adflare.com","Adflare",1,"adflare.com"
"103374","MEMEGLOBAL","memeglobal.com","RESELLER","7842df1d2fe2db34","sales-dev@adflare.com","Adflare",1,"adflare.com"
"103374","MEMEGLOBAL","memeglobal.com","RESELLER","7842df1d2fe2db34","sales-dev@adflare.com","Adflare",1,"adflare.com"
"44","MEMEGLOBAL","lkqd.net","RESELLER","59c49fa9598a0117","sales-dev@adflare.com","Adflare",1,"adflare.com"
"c4f4e0402029d65ad6f0ad0be9963409","MEMEGLOBAL","fyber.com","RESELLER",NA,"sales-dev@adflare.com","Adflare",1,"adflare.com"
"pub-4983172728561290","MEMEGLOBAL","google.com","RESELLER","f08c47fec0942fa0","sales-dev@adflare.com","Adflare",1,"adflare.com"
"74844","MEMEGLOBAL","memeglobal.com","RESELLER","7842df1d2fe2db34","sales-dev@adflare.com","Adflare",1,"adflare.com"
"0kq41","MEMEGLOBAL","tremorhub.com","RESELLER","1a4e959a1b50034a","sales-dev@adflare.com","Adflare",1,"adflare.com"
"537139983","MEMEGLOBAL","openx.com","RESELLER","6a698e2ec38604c6","sales-dev@adflare.com","Adflare",1,"adflare.com"
"74","MEMEGLOBAL","lkqd.com","RESELLER","59c49fa9598a0117","sales-dev@adflare.com","Adflare",1,"adflare.com"
"3500","MEMEGLOBAL","Advertising.com","RESELLER",NA,"sales-dev@adflare.com","Adflare",1,"adflare.com"
"559992","MEMEGLOBAL","contextweb.com","RESELLER","89ff185a4c4e857c","sales-dev@adflare.com","Adflare",1,"adflare.com"
"156305","MEMEGLOBAL","pubmatic.com","RESELLER","5d62403b186f2ace","sales-dev@adflare.com","Adflare",1,"adflare.com"
"106849","MEMEGLOBAL","freewheel.tv","RESELLER",NA,"sales-dev@adflare.com","Adflare",1,"adflare.com"
"pub-2697483239283649","MEMEGLOBAL","google.com","RESELLER","f08c47fec0942fa0","sales-dev@adflare.com","Adflare",1,"adflare.com"
"83892","MEMEGLOBAL","memeglobal.com","RESELLER","7842df1d2fe2db34","sales-dev@adflare.com","Adflare",1,"adflare.com"
"6758","MEMEGLOBAL","advertising.com","RESELLER",NA,"sales-dev@adflare.com","Adflare",1,"adflare.com"
"69","MEMEGLOBAL","lkqd.net","RESELLER","59c49fa9598a0117","sales-dev@adflare.com","Adflare",1,"adflare.com"
"ntdd5","MEMEGLOBAL","tremorhub.com","RESELLER","1a4e959a1b50034a","sales-dev@adflare.com","Adflare",1,"adflare.com"
"75439","MEMEGLOBAL","memeglobal.com","RESELLER",NA,"sales-dev@adflare.com","Adflare",1,"adflare.com"
"118529","MEMEGLOBAL","freewheel.tv","RESELLER",NA,"sales-dev@adflare.com","Adflare",1,"adflare.com"
"498","MEMEGLOBAL","atemda.com","RESELLER",NA,"sales-dev@adflare.com","Adflare",1,"adflare.com"
"2586","MEMEGLOBAL","smartadserver.com","RESELLER",NA,"sales-dev@adflare.com","Adflare",1,"adflare.com"
"560310","PULSEPOINT","contextweb.com","RESELLER","89ff185a4c4e857c","sales-dev@adflare.com","Adflare",1,"adflare.com"
"547493497","RHYTMONE","rhythmone.com","DIRECT","a670c89d4a324e47","sales-dev@adflare.com","Adflare",1,"adflare.com"
"3625668534","RHYTMONE","rhythmone.com","DIRECT","a670c89d4a324e47","sales-dev@adflare.com","Adflare",1,"adflare.com"
"2401133459","RHYTMONE","rhythmone.com","DIRECT","a670c89d4a324e47","sales-dev@adflare.com","Adflare",1,"adflare.com"
"497688133","RHYTMONE","rhythmone.com","DIRECT","a670c89d4a324e47","sales-dev@adflare.com","Adflare",1,"adflare.com"
"3810424198","RHYTMONE","rhythmone.com","DIRECT","a670c89d4a324e47","sales-dev@adflare.com","Adflare",1,"adflare.com"
"22539","SEKINDO","rhythmone.com","DIRECT",NA,"sales-dev@adflare.com","Adflare",1,"adflare.com"
"84294","SEKINDO","sekindo.com","RESELLER","7842df1d2fe2db34","sales-dev@adflare.com","Adflare",1,"adflare.com"
"84294","SEKINDO","sekindo.com","RESELLER","7842df1d2fe2db34","sales-dev@adflare.com","Adflare",1,"adflare.com"
"7372","SEKINDO","advertising.com","RESELLER",NA,"sales-dev@adflare.com","Adflare",1,"adflare.com"
"10397","SEKINDO","adtech.com","RESELLER",NA,"sales-dev@adflare.com","Adflare",1,"adflare.com"
"10397","SEKINDO","aolcloud.net","RESELLER",NA,"sales-dev@adflare.com","Adflare",1,"adflare.com"
"206396","SEKINDO","inner-active.com","RESELLER",NA,"sales-dev@adflare.com","Adflare",1,"adflare.com"
"560453","SEKINDO","contextweb.com","RESELLER",NA,"sales-dev@adflare.com","Adflare",1,"adflare.com"
"244","SEKINDO","lkqd.net","RESELLER","59c49fa9598a0117","sales-dev@adflare.com","Adflare",1,"adflare.com"
"244","SEKINDO","lkqd.com","RESELLER","59c49fa9598a0117","sales-dev@adflare.com","Adflare",1,"adflare.com"
"251255","SEKINDO","sovrn.com","RESELLER","fafdf38b16bf6b2b","sales-dev@adflare.com","Adflare",1,"adflare.com"
"251255","SEKINDO","lijit.com","RESELLER","fafdf38b16bf6b2b","sales-dev@adflare.com","Adflare",1,"adflare.com"
"2137","SEKINDO","smartadserver.com","RESELLER",NA,"sales-dev@adflare.com","Adflare",1,"adflare.com"
"23034","SEKINDO","tidaltv.com","RESELLER",NA,"sales-dev@adflare.com","Adflare",1,"adflare.com"
"32071","SEKINDO","tidaltv.com","RESELLER",NA,"sales-dev@adflare.com","Adflare",1,"adflare.com"
"156380","SEKINDO","pubmatic.com","RESELLER","5d62403b186f2ace","sales-dev@adflare.com","Adflare",1,"adflare.com"
"1940","SEKINDO","appnexus.com","RESELLER",NA,"sales-dev@adflare.com","Adflare",1,"adflare.com"
"2764","SEKINDO","appnexus.com","RESELLER",NA,"sales-dev@adflare.com","Adflare",1,"adflare.com"
"f14d40df2568b6df4eed292a5ad93716","SEKINDO","fyber.com","RESELLER",NA,"sales-dev@adflare.com","Adflare",1,"adflare.com"
"3238c1661ce2914845a986d98baf7d59","SEKINDO","fyber.com","RESELLER",NA,"sales-dev@adflare.com","Adflare",1,"adflare.com"
"mb9eo-oqsbf","SEKINDO","tremorhub.com","RESELLER","1a4e959a1b50034a","sales-dev@adflare.com","Adflare",1,"adflare.com"
"474289066697842","SEKINDO","vi.ai","RESELLER",NA,"sales-dev@adflare.com","Adflare",1,"adflare.com"
"19129","SEKINDO","freewheel.tv","RESELLER",NA,"sales-dev@adflare.com","Adflare",1,"adflare.com"
"19133","SEKINDO","freewheel.tv","RESELLER",NA,"sales-dev@adflare.com","Adflare",1,"adflare.com"
"10483","UNDERDOGMEDIA","adtech.com","RESELLER",NA,"sales-dev@adflare.com","Adflare",1,"adflare.com"
"10483","UNDERDOGMEDIA","aolcloud.net","RESELLER",NA,"sales-dev@adflare.com","Adflare",1,"adflare.com"
"2000067907202","UNDERDOGMEDIA","coxmt.com","RESELLER",NA,"sales-dev@adflare.com","Adflare",1,"adflare.com"
"537143344","UNDERDOGMEDIA","openx.com","RESELLER",NA,"sales-dev@adflare.com","Adflare",1,"adflare.com"
"175407","UNDERDOGMEDIA","indexexchange.com","RESELLER",NA,"sales-dev@adflare.com","Adflare",1,"adflare.com"
"156078","UNDERDOGMEDIA","pubmatic.com","RESELLER","5d62403b186f2ace","sales-dev@adflare.com","Adflare",1,"adflare.com"
"1610","UNDERDOGMEDIA","appnexus.com","RESELLER","f5ab79cb980f11d1","sales-dev@adflare.com","Adflare",1,"adflare.com"
"7874","UNDERDOGMEDIA","appnexus.com","RESELLER","f5ab79cb980f11d1","sales-dev@adflare.com","Adflare",1,"adflare.com"
"508738","UNDERDOGMEDIA","Contextweb.com","RESELLER","89ff185a4c4e857c","sales-dev@adflare.com","Adflare",1,"adflare.com"
"537124574","UNDERDOGMEDIA","openx.com","RESELLER","6a698e2ec38604c6","sales-dev@adflare.com","Adflare",1,"adflare.com"
"5fa6044d8d","UNDERDOGMEDIA","sonobi.com","RESELLER",NA,"sales-dev@adflare.com","Adflare",1,"adflare.com"
"1059622079","UNDERDOGMEDIA","rhythmone.com","RESELLER",NA,"sales-dev@adflare.com","Adflare",1,"adflare.com"
"560606","UNDERDOGMEDIA","contextweb.com","RESELLER",NA,"sales-dev@adflare.com","Adflare",1,"adflare.com"
"57529","UNDERDOGMEDIA","sovrn.com","RESELLER","fafdf38b16bf6b2b","sales-dev@adflare.com","Adflare",1,"adflare.com"
"57529","UNDERDOGMEDIA","lijit.com","RESELLER","fafdf38b16bf6b2b","sales-dev@adflare.com","Adflare",1,"adflare.com"
"11645","UNDERDOGMEDIA","gumgum.com","RESELLER","ffdef49475d318a9","sales-dev@adflare.com","Adflare",1,"adflare.com"
"537120960","UNDERDOGMEDIA","openx.com","RESELLER",NA,"sales-dev@adflare.com","Adflare",1,"adflare.com"
"83499","UNDERDOGMEDIA","openx.com","RESELLER",NA,"sales-dev@adflare.com","Adflare",1,"adflare.com"
"538959099","UNDERDOGMEDIA","openx.com","RESELLER",NA,"sales-dev@adflare.com","Adflare",1,"adflare.com"
"137711","UNDERDOGMEDIA","pubmatic.com","RESELLER",NA,"sales-dev@adflare.com","Adflare",1,"adflare.com"
"156212","UNDERDOGMEDIA","pubmatic.com","RESELLER",NA,"sales-dev@adflare.com","Adflare",1,"adflare.com"
"62483","UNDERDOGMEDIA","pubmatic.com","RESELLER",NA,"sales-dev@adflare.com","Adflare",1,"adflare.com"
"156505","UNDERDOGMEDIA","pubmatic.com","RESELLER","5d62403b186f2ace","sales-dev@adflare.com","Adflare",1,"adflare.com"
"4000889998","UNDERDOGMEDIA","rhythmone.com","RESELLER",NA,"sales-dev@adflare.com","Adflare",1,"adflare.com"
"238463","UNDERDOGMEDIA","underdogmedia.com","RESELLER","7842df1d2fe2db34","sales-dev@adflare.com","Adflare",1,"adflare.com"
"238463","UNDERDOGMEDIA","underdogmedia.com","RESELLER","7842df1d2fe2db34","sales-dev@adflare.com","Adflare",1,"adflare.com"
"531","UNDERDOGMEDIA","lkqd.net","DIRECT","59c49fa9598a0117","sales-dev@adflare.com","Adflare",1,"adflare.com"
"16973","UNDERDOGMEDIA","teads.tv","DIRECT","15a9c44f6d26cbe1","sales-dev@adflare.com","Adflare",1,"adflare.com"
"267","UNDERDOGMEDIA","gamoshi.io","RESELLER",NA,"sales-dev@adflare.com","Adflare",1,"adflare.com"
"993","UNDERDOGMEDIA","emxdgt.com","DIRECT","1e1d41537f7cad7f","sales-dev@adflare.com","Adflare",1,"adflare.com"
"1356","UNDERDOGMEDIA","Appnexus.com","RESELLER","f5ab79cb980f11d1","sales-dev@adflare.com","Adflare",1,"adflare.com"
"pub-5995202563537249","UNDERDOGMEDIA","Google.com","RESELLER","f08c47fec0942fa0","sales-dev@adflare.com","Adflare",1,"adflare.com"
"?2461","UNDERDOGMEDIA","udmserve.net","DIRECT","0cf60ed62b5f3e40","sales-dev@adflare.com","Adflare",1,"adflare.com"
"28251","UNDERDOGMEDIA","advertising.com","RESELLER",NA,"sales-dev@adflare.com","Adflare",1,"adflare.com"
"158142","UNDERDOGMEDIA","pubmatic.com","RESELLER","5d62403b186f2ace","sales-dev@adflare.com","Adflare",1,"adflare.com"
"964214154","UNDERDOGMEDIA","rhythmone.com","RESELLER",NA,"sales-dev@adflare.com","Adflare",1,"adflare.com"
